,0
1135,14223.195000000009
1136,14349.20200000001
1137,14644.20300000001
1138,14685.20200000001
1139,14651.20400000001
1140,14819.204000000009
1141,15030.209000000008
1142,15182.210000000008
1143,14935.20900000001
1144,14564.213000000009
1145,14373.21500000001
1146,14252.21300000001
1147,14079.22500000001
1148,14164.222000000009
1149,14521.22500000001
1150,14294.219000000008
1151,14491.222000000009
1152,14549.220000000008
1153,15016.22600000001
1154,15544.23200000001
1155,15393.234000000008
1156,14920.238000000008
1157,15626.237000000012
1158,15112.24200000001
1159,15616.238000000012
1160,15746.238000000012
1161,15421.243000000011
1162,15200.23900000001
1163,15017.243000000011
1164,15066.246000000012
1165,15638.247000000014
1166,15901.247000000014
1167,15661.243000000013
1168,15800.251000000013
1169,15329.25300000001
1170,15695.256000000012
1171,15920.25700000001
1172,16327.250000000013
1173,15797.26100000001
1174,15897.273000000014
1175,16159.267000000013
1176,15988.26400000001
1177,16161.26700000001
1178,16295.271000000013
1179,16442.263000000014
1180,16283.267000000013
1181,16026.271000000012
1182,16121.275000000012
1183,16515.278000000013
1184,16365.282000000012
1185,16055.28600000001
1186,16056.29000000001
1187,16786.291000000012
1188,16496.29000000001
1189,16827.293000000012
1190,16783.292000000016
1191,16725.288000000015
1192,16139.291000000014
1193,16386.29400000001
1194,16251.297000000013
1195,17046.294000000016
1196,17079.303000000014
1197,16492.309000000012
1198,16810.31600000001
1199,16456.32100000001
1200,17234.31300000001
1201,16993.31300000001
1202,17708.31500000001
1203,17179.31700000001
1204,17131.31400000001
1205,17551.31300000001
1206,17532.312000000013
1207,17891.314000000013
1208,18170.31900000001
1209,18188.325000000015
1210,17988.333000000013
1211,17639.335000000014
1212,17762.333000000013
1213,18697.329000000012
1214,18422.33500000001
1215,17760.341000000008
1216,17556.341000000008
1217,17541.33800000001
1218,16991.344000000012
1219,17176.348000000013
1220,17445.348000000013
1221,17522.34900000001
1222,17741.350000000013
1223,17679.35400000001
1224,17498.35500000001
1225,18113.355000000014
1226,18605.350000000013
1227,18408.354000000014
1228,18643.350000000013
1229,18332.351000000013
1230,18804.354000000014
1231,19260.351000000013
1232,19449.350000000013
1233,18695.35700000001
1234,18945.363000000012
1235,18662.362000000016
1236,18522.34800000001
1237,18596.34400000001
1238,18988.34500000001
1239,18360.35000000001
1240,18204.36400000001
1241,18402.36700000001
1242,18102.368000000006
1243,18448.37400000001
1244,17818.37600000001
1245,18012.37600000001
1246,18196.375000000007
1247,18621.37200000001
1248,18171.37400000001
1249,19305.374000000014
1250,19600.367000000013
1251,19719.374000000014
1252,19037.37900000001
1253,18983.384000000013
1254,18770.38500000001
1255,18421.390000000014
1256,18584.399000000012
1257,18981.40000000001
1258,19003.399000000012
1259,18898.400000000016
1260,19000.399000000012
1261,18940.393000000015
1262,19792.398000000016
1263,19760.39700000001
1264,19900.396000000015
1265,20092.400000000016
1266,19664.401000000013
1267,19225.400000000012
1268,19280.399000000012
1269,18781.399000000012
1270,18712.39500000001
1271,18862.38300000001
1272,18873.384000000005
1273,18765.386000000006
